names,Price,Area,Unit Type,Starting Price,Maximum Price,lat,lon,geometry
Brigade Exotica - Burgundy Tower bangalore,40 L,900 sq.ft,0.5 BHK Apartment,40 L,0,13.0443079,77.74501289999999,POINT (77.74501289999999 13.0443079)
Brigade Gardenia bangalore,48 L -59.76 L,1000-1245 sq.ft,2 BHK Apartment,48 L ,59.76 L,12.8879764,77.57812729999999,POINT (77.57812729999999 12.8879764)
Brigade Golden Triangle bangalore,78 L -92 L,1200 sq.ft,2 BHK Apartment,78 L ,92 L,13.0549285,77.762862,POINT (77.762862 13.0549285)
Brigade Lakefront - Amber Block bangalore,3.10 Cr -4.59 Cr,4150-4390 sq.ft,3 BHK Apartment,3.10 Cr ,4.59 Cr,12.9789932,77.7113528,POINT (77.7113528 12.9789932)
Brigade Lakefront Blue bangalore,2.17 Cr,4100 sq.ft,4 BHK Villa,2.17 Cr,0,12.9789932,77.7113528,POINT (77.7113528 12.9789932)
Brigade Meadows Plumeria bangalore,1.20 Cr -1.50 Cr,1445 sq.ft,2 BHK Apartment,1.20 Cr ,1.50 Cr,12.8134935,77.5117193,POINT (77.5117193 12.8134935)
Brigade Meadows bangalore,35 L -64 L,1010-1300 sq.ft,2 BHK Apartment,35 L ,64 L,12.8141256,77.50819419999999,POINT (77.50819419999999 12.8141256)
Brigade Metropolis bangalore,1.16 Cr,1753 sq.ft,3 BHK RowHouse,1.16 Cr,0,12.9914639,77.7029976,POINT (77.7029976 12.9914639)
Brigade Millennium bangalore,1.10 Cr -1.71 Cr,1650-1695 sq.ft,3 BHK Apartment,1.10 Cr ,1.71 Cr,12.891805,77.58245529999999,POINT (77.58245529999999 12.891805)
Brigade Northridge - Phase 1 bangalore,69 L -95 L,1230 sq.ft,2 BHK Apartment,69 L ,95 L,13.1012353,77.630922,POINT (77.630922 13.1012353)
Brigade Northridge Phase II bangalore,44.99 L,1200 sq.ft,2 BHK Apartment,44.99 L,0,13.1012353,77.630922,POINT (77.630922 13.1012353)
Brigade Omega bangalore,65 L -1 Cr,1310-1390 sq.ft,2 BHK Apartment,65 L ,1 Cr,12.8938298,77.5294655,POINT (77.5294655 12.8938298)
Brigade Orchards Luxury Apartments bangalore,50 L -62 L,1080-1360 sq.ft,2 BHK Apartment,50 L ,62 L,13.230003,77.72362079999999,POINT (77.72362079999999 13.230003)
Brigade Panorama bangalore,55 L,888 sq.ft,1 BHK Apartment,55 L,0,12.8870631,77.45370779999999,POINT (77.45370779999999 12.8870631)
Brigade Parkside East bangalore,36.40 L -47.10 L,1100-1200 sq.ft,2 BHK Apartment,36.40 L ,47.10 L,12.9026133,77.7018458,POINT (77.7018458 12.9026133)
Brigade Parkside West bangalore,39.06 L -42.89 L,1080-1195 sq.ft,2 BHK Apartment,39.06 L ,42.89 L,12.9026133,77.7018458,POINT (77.7018458 12.9026133)
Brigade Woods bangalore,75 L -1.15 Cr,1364-1465 sq.ft,2 BHK Apartment,75 L ,1.15 Cr,12.9783211,77.73385139999999,POINT (77.73385139999999 12.9783211)
Brinda Imperial Phase I bangalore,2.40 Cr -2.66 Cr,2826 sq.ft,3 BHK Villa,2.40 Cr ,2.66 Cr,12.753406,77.64903799999999,POINT (77.64903799999999 12.753406)
Buildmann Aaroha Condominiums  bangalore,1.31 Cr,1462 sq.ft,2.5 BHK Apartment,1.31 Cr,0,13.038895,77.70258500000001,POINT (77.70258500000001 13.038895)
CLPD Suncity Apartments bangalore,60 L -89.17 L,1240-1450 sq.ft,2 BHK Apartment,60 L ,89.17 L,12.9026338,77.70694230000001,POINT (77.70694230000001 12.9026338)
CMRS Mulberry Mist bangalore,1.51 Cr,1541 sq.ft,2 BHK Apartment,1.51 Cr,0,12.9450837,77.7524506,POINT (77.7524506 12.9450837)
Camellia Pride bangalore,32.67 L -49 L,660-690 sq.ft,1 BHK Apartment,32.67 L ,49 L,12.9334857,77.7485129,POINT (77.74851289999999 12.9334857)
Canary Woods bangalore,45.20 L -58.80 L,1174-1470 sq.ft,2 BHK Apartment,45.20 L ,58.80 L,12.9715987,77.5945627,POINT (77.5945627 12.9715987)
Candeur Carlisle bangalore,2.37 Cr -3.46 Cr,1763 sq.ft,2 BHK Apartment,2.37 Cr ,3.46 Cr,12.9969877,77.68995489999999,POINT (77.68995489999999 12.9969877)
Candeur Landmark bangalore,59.90 L -75.57 L,1110-1255 sq.ft,2 BHK Apartment,59.90 L ,75.57 L,12.9218714,77.7373607,POINT (77.7373607 12.9218714)
Candeur Rise bangalore,5.90 L -63.16 L,1050-1215 sq.ft,2 BHK Apartment,5.90 L ,63.16 L,12.9969877,77.68995489999999,POINT (77.68995489999999 12.9969877)
Casa Gopalan bangalore,2.28 Cr -3.14 Cr,2400-2547 sq.ft,3 BHK Apartment,2.28 Cr ,3.14 Cr,12.9685201,77.7424363,POINT (77.74243629999999 12.9685201)
Casagrand Esmeralda bangalore,22 L -32.74 L,525-546 sq.ft,1 BHK Apartment,22 L ,32.74 L,12.8356242,77.7668846,POINT (77.7668846 12.8356242)
